DATE,M12MTVUSM227NFWA
1997-05-01,2517474.0
1997-06-01,2524178.0
1997-07-01,2535782.0
1997-08-01,2540227.0
1997-09-01,2546170.0
1997-10-01,2551735.0
1997-11-01,2554513
1997-12-01,2560373
1998-01-01,2567117
1998-02-01,2570334
1998-03-01,2572603.0
1998-04-01,2579234.0
1998-05-01,2581051.0
1998-06-01,2587529.0
1998-07-01,2590760.0
1998-08-01,2594407.0
1998-09-01,2600322.0
1998-10-01,2607626.0
1998-11-01,2616382.0
1998-12-01,2625363.0
1999-01-01,2622074.0
1999-02-01,2626392.0
1999-03-01,2632934
1999-04-01,2636008.0
1999-05-01,2638895.0
1999-06-01,2646133
1999-07-01,2649305
1999-08-01,2653665
1999-09-01,2658510
1999-10-01,2663619.0
1999-11-01,2674296
1999-12-01,2679459.0
2000-01-01,2689319
2000-02-01,2697095
2000-03-01,2708822
2000-04-01,2715525.0
2000-05-01,2727240.0
2000-06-01,2734232
2000-07-01,2736255.0
2000-08-01,2742584.0
2000-09-01,2746178
2000-10-01,2749037.0
2000-11-01,2750001
2000-12-01,2746926
2001-01-01,2753169
2001-02-01,2754784
2001-03-01,2754881
2001-04-01,2759696
2001-05-01,2762552
2001-06-01,2763087
2001-07-01,2768310
2001-08-01,2773752
2001-09-01,2772165
2001-10-01,2776724
2001-11-01,2784416
2001-12-01,2795610
2002-01-01,2801140
2002-02-01,2808501
2002-03-01,2811984
2002-04-01,2816697
2002-05-01,2823086
2002-06-01,2827456
2002-07-01,2833485
2002-08-01,2838877
2002-09-01,2846190
2002-10-01,2850696
2002-11-01,2850833
2002-12-01,2855509
2003-01-01,2858828
2003-02-01,2854268
2003-03-01,2854877
2003-04-01,2857066
2003-05-01,2858564
2003-06-01,2862841
2003-07-01,2868554
2003-08-01,2870575
2003-09-01,2874401
2003-10-01,2882893
2003-11-01,2885943
2003-12-01,2890221
2004-01-01,2894137
2004-02-01,2904169
2004-03-01,2918893
2004-04-01,2930446
2004-05-01,2934437
2004-06-01,2939675
2004-07-01,2943539
2004-08-01,2945688
2004-09-01,2951752
2004-10-01,2952200
2004-11-01,2958298
2004-12-01,2964789
2005-01-01,2966411
2005-02-01,2972672
2005-03-01,2974451
2005-04-01,2974343
2005-05-01,2979786
2005-06-01,2986219
2005-07-01,2987275
2005-08-01,2989762
2005-09-01,2988487
2005-10-01,2985410
2005-11-01,2988670
2005-12-01,2989428
2006-01-01,2998638
2006-02-01,2999379
2006-03-01,3002820
2006-04-01,3002604
2006-05-01,3003296
2006-06-01,3003262
2006-07-01,2999658
2006-08-01,2999541
2006-09-01,3002906
2006-10-01,3009426
2006-11-01,3011716
2006-12-01,3014116
2007-01-01,3014455
2007-02-01,3012976
2007-03-01,3015991
2007-04-01,3017942
2007-05-01,3022146
2007-06-01,3023738
2007-07-01,3027423
2007-08-01,3033442
2007-09-01,3033802
2007-10-01,3037286
2007-11-01,3037727
2007-12-01,3029821
2008-01-01,3029120
2008-02-01,3031224
2008-03-01,3023929
2008-04-01,3023422
2008-05-01,3017314
2008-06-01,3009424
2008-07-01,3003918
2008-08-01,2993302
2008-09-01,2986944
2008-10-01,2981369
2008-11-01,2972047
2008-12-01,2973508
2009-01-01,2966117
2009-02-01,2962424
2009-03-01,2959822
2009-04-01,2959108
2009-05-01,2955918
2009-06-01,2956829
2009-07-01,2959701
2009-08-01,2959389
2009-09-01,2961752
2009-10-01,2958113
2009-11-01,2958912
2009-12-01,2956763
2010-01-01,2952073
2010-02-01,2945065
2010-03-01,2949562
2010-04-01,2952124
2010-05-01,2950775
2010-06-01,2952463
2010-07-01,2953306
2010-08-01,2956846
2010-09-01,2959558
2010-10-01,2963744
2010-11-01,2966059
2010-12-01,2967266
2011-01-01,2970217
2011-02-01,2973045
2011-03-01,2971931
2011-04-01,2967573
2011-05-01,2964729
2011-06-01,2962996
2011-07-01,2957856
2011-08-01,2954545
2011-09-01,2951925
2011-10-01,2947436
2011-11-01,2946392
2011-12-01,2950402
2012-01-01,2954139
2012-02-01,2958872
2012-03-01,2961914
2012-04-01,2961730
2012-05-01,2968421
2012-06-01,2970447
2012-07-01,2970516
2012-08-01,2974369
2012-09-01,2971174
2012-10-01,2972842
2012-11-01,2974668
2012-12-01,2968567
2013-01-01,2970459
2013-02-01,2968066
2013-03-01,2964926
2013-04-01,2967596
2013-05-01,2970228
2013-06-01,2969832
2013-07-01,2973534
2013-08-01,2977216
2013-09-01,2980885
2013-10-01,2986059
2013-11-01,2985753
2013-12-01,2988281
2014-01-01,2985275
2014-02-01,2983421
2014-03-01,2983819
2014-04-01,2988491
2014-05-01,2991322
2014-06-01,2994801
2014-07-01,3000908
2014-08-01,3001678
2014-09-01,3006830
2014-10-01,3013226
2014-11-01,3014622
2014-12-01,3025656
2015-01-01,3032741
2015-02-01,3036012
2015-03-01,3040605
2015-04-01,3046686
2015-05-01,3051288
2015-06-01,3058403
2015-07-01,3066722
2015-08-01,3070100
2015-09-01,3077502
2015-10-01,3080827
2015-11-01,3088219
2015-12-01,3095372
2016-01-01,3101553
2016-02-01,3107344
2016-03-01,3114474
2016-04-01,3121310
2016-05-01,3128443
2016-06-01,3134860
2016-07-01,3141648
2016-08-01,3148652
2016-09-01,3155601
2016-10-01,3162742
2016-11-01,3169053
2016-12-01,3174407
2017-01-01,3177328.0
2017-02-01,3179961.0
2017-03-01,3183157.0
2017-04-01,3186368.0
2017-05-01,3189660.0
2017-06-01,3192959.0
2017-07-01,3196365.0
2017-08-01,3199710.0
2017-09-01,3202883.0
2017-10-01,3206161.0
2017-11-01,3209166.0
2017-12-01,3212346.0
2018-01-01,3214482.0
2018-02-01,3216597.0
2018-03-01,3218959.0
2018-04-01,3221222.0
2018-05-01,3223671.0
2018-06-01,3226029.0
2018-07-01,3228452.0
2018-08-01,3230883.0
2018-09-01,3233105.0
2018-10-01,3235599.0
2018-11-01,3237913.0
2018-12-01,3240325.0
2019-01-01,3244516.0
2019-02-01,3248548.0
2019-03-01,3250222.0
2019-04-01,3248508.0
2019-05-01,3254506.0
2019-06-01,3253217.0
2019-07-01,3253748.0
2019-08-01,3262067.0
2019-09-01,3267952.0
2019-10-01,3270531.0
2019-11-01,3270384.0
2019-12-01,3261771.0
2020-01-01,3273691.0
2020-02-01,3284595.0
2020-03-01,3238854.0
2020-04-01,3133058.0
2020-05-01,3064353.0
2020-06-01,3033324.0
2020-07-01,3007354.0
2020-08-01,2979106.0
2020-09-01,2963318.0
2020-10-01,2945953.0
2020-11-01,2923927.0
2020-12-01,2903621.0
2021-01-01,2873804.0
2021-02-01,2844147.0
2021-03-01,2886984.0
2021-04-01,2978830.0
2021-05-01,3042190.0
2021-06-01,3078790.0
2021-07-01,3109715.0
2021-08-01,3132077.0
2021-09-01,3152545.0
2021-10-01,3171708.0
2021-11-01,3201157.0
2021-12-01,3228126.0
2022-01-01,3237636.0
2022-02-01,3260266.0
